Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);02 Anforderungen an das Netzwerk definieren;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);03 Schichtenarchitektur auswählen;2-Tier
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);03 Schichtenarchitektur auswählen;3-Tier
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);03 Schichtenarchitektur auswählen;Multi-Tier
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);04 Schutzziele der Informationssicherheit;Vertraulichkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);04 Schutzziele der Informationssicherheit;Authentizität
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);04 Schutzziele der Informationssicherheit;Integrität
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);04 Schutzziele der Informationssicherheit;Verfügbarkeit
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);05 Schutzbedarfsanalyse;Schutzbedarfsanalyse
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);06 Technische und organisatorische Maßnahmen (TOM);Berechtigungskonzepte, Organisationsstrukturen (Zugang, Zutritt, Zugriff)
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);07 Kundenspezifische Anforderungen berücksichtigen;Kundenspezifische Anforderungen berücksichtigen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);08 Auswahl der verwendeten Infrastruktur;Cloud
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);08 Auswahl der verwendeten Infrastruktur;Eigene Server + Storage
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);09 Auswahl der Technik;Virtualisierung
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);09 Auswahl der Technik;Bare-Metal
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);Server
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);Hardware
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);Betriebssystem
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);Anwendungen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);Dienste
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);10 Realisieren von IT-Systemen (auswählen, installieren, konfigurieren, bewerten);etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Services bewerten und beurteilen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Housing, Hosting
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;IaaS, SaaS, PaaS
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Kosten-Nutzen berücksichtigen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Sicherheitsaspekte berücksichtigen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Datenschutz berücksichtigen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);11 Einen Cloud-Anbieter auswählen;Integration
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;Zeichensätze, Umlaute, Sprache
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;Formate
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;Protokolle
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;(System-)Schnittstellen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;Programmiersprachen, Datentypen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;Softwarebibliotheken
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);12 Kompatibilitätsprobleme erkennen und lösen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);13 Lifecycle-Betrachtung durchführen;Hardware
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);13 Lifecycle-Betrachtung durchführen;Software
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);13 Lifecycle-Betrachtung durchführen;Support, extended Support
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);13 Lifecycle-Betrachtung durchführen;Sicherheitsupdates
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);13 Lifecycle-Betrachtung durchführen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);14 Versionskontrollen planen und durchführen;Installation von Software- und Sicherheitsupdates
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);14 Versionskontrollen planen und durchführen;Installation von Betriebssystemupdates
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;Staging
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;Performance-Tests
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;Penetration-Test
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;Integration-Test
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;System-Test
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);15 Tests erstellen, planen und durchführen können;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);16 Tests dokumentieren und auswerten können;Testprotokolle
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);16 Tests dokumentieren und auswerten können;Changeprozess begleiten
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);16 Tests dokumentieren und auswerten können;Rollback planen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);16 Tests dokumentieren und auswerten können;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;Ermitteln von Ansprechpartnern
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;Stakeholder-Analyse
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;Abstimmung von Wartungsfenstern
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;Planung von Changes
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;Kundendokumentation erstellen/übergeben
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);17 Kundenbezogene Prozesse berücksichtigen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);18 Migration planen und durchführen;Feststellen/benennen von Migrationsmethoden
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);18 Migration planen und durchführen;Erhebung/Berechnung von Datengrößen/Datentypen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);18 Migration planen und durchführen;Kompatibilität von Filesystemen feststellen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);18 Migration planen und durchführen;Klassifizierung von Daten vornehmen
Teil 2 der Abschlussprüfung - 02: Systemintegration;04 Konzipieren und Realisieren von IT-Systemen (§ 4 Absatz 4 Nummer 1);18 Migration planen und durchführen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);01 Verschiedene Netzwerkprotokolle je nach Anwendungsbereich und Anforderung auswählen;IPv4/IPv6
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);01 Verschiedene Netzwerkprotokolle je nach Anwendungsbereich und Anforderung auswählen;TCP/UDP
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);01 Verschiedene Netzwerkprotokolle je nach Anwendungsbereich und Anforderung auswählen;SSL/TLS (Version)
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);01 Verschiedene Netzwerkprotokolle je nach Anwendungsbereich und Anforderung auswählen;Schicht 5-7 Protokolle: z. B. DNS, IMAP, SMTP, HTTPS, SFTP, SSH
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);02 Geeignete Topologien und Übertragungswege bewerten;Funk
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);02 Geeignete Topologien und Übertragungswege bewerten;Kupferkabel
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);02 Geeignete Topologien und Übertragungswege bewerten;Glasfaser
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Leitungen/Kabel
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;WAN-Modem (DSL-Modem)
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Router
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Switches
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;WLAN-Controller
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Accesspoint
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Firewall
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Loadbalancer
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);03 Geeignete Netzwerkkomponenten auswählen, installieren, konfigurieren und betreiben;Managed Services
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;DNS
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;DHCP
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;Proxy
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;Spanning Tree
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;Dynamisches/statisches Routing
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;VLAN
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;First hop redundancy
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);04 Netzwerkrelevante Dienste administrieren können;QoS
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);05 Netzwerke analysieren und optimieren;Funktions- und Belastungstest (z. B. Redundanz, Load Balancing, Mesh)
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);06 Einsatz geeigneter Maßnahmen zur IT-Sicherheit evaluieren und vorschlagen;Berücksichtigung allgemeiner (IT-Grundschutz) sowie betrieblicher Sicherheitsaspekte
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);06 Einsatz geeigneter Maßnahmen zur IT-Sicherheit evaluieren und vorschlagen;Gefährdungen kennen und mögliche Risiken analysieren können
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Firewall
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;IDS/IPS
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Überwachungssysteme
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Verschlüsselungstechniken
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Virtualisierungstechniken
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Clustering
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Viren- und Spamfilter
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Zugriffberechtigungen zu Netzwerkkomponenten und Netzwerkdiensten
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;System- und Firmwareupdates
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Zutritt zu Server- und Betriebsräumen
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);07 Lösungen der IT-Sicherheit in Netzwerken (Hardware/Software) implementieren;Zutrittskontrollsystem
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);08 Dokumentation und Überwachung der umgesetzten Maßnahmen durchführen;Auswertung von Protokolldateien/Monitoring und die Dokumentation der implementierten Lösungen mit Änderungsverfolgung
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);08 Dokumentation und Überwachung der umgesetzten Maßnahmen durchführen;Ping
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);08 Dokumentation und Überwachung der umgesetzten Maßnahmen durchführen;Trace Route
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);08 Dokumentation und Überwachung der umgesetzten Maßnahmen durchführen;Analysetools (z. B. Pakettracer, Wireshark)
Teil 2 der Abschlussprüfung - 02: Systemintegration;05 Installieren und Konfigurieren von Netzwerken (§ 4 Absatz 4 Nummer 2);08 Dokumentation und Überwachung der umgesetzten Maßnahmen durchführen;Netzwerkmonitoring (z. B. SNMP)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;Identifizieren, abgrenzen und beschreiben
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;Neuerordnung u. Ä.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;Betriebsvereinbarungen u. Ä.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;IT-Grundschutz-Vorgaben (BSI)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;IT-Sicherheitsrichtlinien
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;Berechtigungsstufen, Rollen
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;BYOD
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;Data Loss Prävention
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);01. Einsatzzwecke und Richtlinien von IT-Systemen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Abomodell vs. Kaufmodell
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Pay per use
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Rahmenverträge
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Lizenzmodell (kommerziell, Open Source, Freeware, GPL etc.)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Zugriffslizenzen (CALs)
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Software Licence Monitoring
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Lizenzverwaltung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Lizenzbeschaffung
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Lizenzierungsserver
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;Lizenz-Audit
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);02. Auswahl geeigneter Lizenzmodelle treffen und Lizenzmanagement durchführen;etc.
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;Zugriffsrechte
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;User Accounts
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;ACLs
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;Domänenkonzept
Teil 2 der Abschlussprüfung - 02: Systemintegration;06 Administrieren von IT-Systemen (§ 4 Absatz 4 Nummer 3);03. Auswahl und Einführung von Berechtigungskonzepten;Sicherheitsgruppen
